Income Statement,Aug 2016,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,3596.1,3844.1,4643.7,5829.0,5476.5,5604.9
Total Revenues,3596.1,3844.1,4643.7,5829.0,5476.5,5604.9
Cost Of Revenues,3021.9,3322.7,4021.6,5025.5,4531.7,4665.2
Gross Profit,574.2,521.4,622.2,803.5,944.8,939.6
Selling General & Admin Expenses,383.7,387.4,401.5,412.3,504.6,507.1
Total Operating Expenses,383.7,387.4,401.5,412.3,504.6,507.1
Operating Income,190.5,134.0,220.7,391.2,440.2,432.6
Interest Expense,(63.0),(44.2),(41.0),(71.4),(61.8),(57.7)
Net Interest Expenses,(63.0),(44.2),(41.0),(71.4),(61.8),(57.7)
"EBT, Excl. Unusual Items",127.5,89.9,179.8,319.8,378.4,374.9
"EBT, Incl. Unusual Items",76.0,65.5,165.4,268.5,370.8,346.9
Income Tax Expense,14.0,15.3,30.1,69.7,92.5,84.8
Earnings From Continuing Operations,62.0,50.2,135.2,198.8,278.3,262.1
Earnings Of Discontinued Operations,(7.2),(3.8),3.3,(0.7),1.2,0.7
Net Income to Company,54.8,46.3,138.5,198.1,279.5,262.8
Net Income,54.8,46.3,138.5,198.1,279.5,262.8
NI to Common Incl Extra Items,54.8,46.3,138.5,198.1,279.5,262.8
NI to Common Excl. Extra Items,62.0,50.2,135.2,198.8,278.3,262.1
Revenue Per Share,$31.21,$33.24,$39.75,$49.47,$46.05,$46.85
Basic EPS,$0.48,$0.40,$1.19,$1.68,$2.35,$2.20
Basic EPS - Continuing Ops,$0.54,$0.43,$1.16,$1.69,$2.34,$2.19
Basic Weighted Average Shares Outst.,115.2,115.7,116.8,117.8,118.9,119.6
Diluted EPS,$0.47,$0.40,$1.17,$1.66,$2.32,$2.17
Diluted EPS - Continuing Ops,$0.53,$0.43,$1.14,$1.67,$2.31,$2.16
Diluted Weighted Average Shares Outst.,116.6,117.4,118.1,119.1,120.3,121.0
Normalized Basic EPS,$0.69,$0.49,$0.96,$1.70,$1.99,$1.96
Normalized Diluted EPS,$0.68,$0.48,$0.95,$1.68,$1.97,$1.94
Dividend Per Share,$0.48,$0.48,$0.48,$0.48,$0.48,$0.48
Payout Ratio,101.06%,119.82%,40.49%,28.54%,20.41%,21.84%
EBITDA,317.4,259.1,352.4,475.1,576.6,581.3
EBITA,193.9,136.1,222.9,318.6,413.0,432.6
EBIT,190.5,134.0,220.7,391.2,440.2,432.6
EBITDAR,358.1,296.4,,,629.2,
Effective Tax Rate,18.4%,23.3%,18.2%,26.0%,24.9%,24.5%
Normalized Net Income,79.7,56.2,112.3,199.9,236.5,234.3
Interest Capitalized,3.6,9.8,7.3,0.3,2.5,
Interest on Long-Term Debt,,,,,4.3,
Foreign Sales,824.7,3844.1,1183.7,1057.8,914.1,
