Income Statement,Oct 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,5.43%,8.20%,8.58%,(1.72%),(3.85%)
Total Revenues,5.43%,8.20%,8.58%,(1.72%),(3.85%)
Cost Of Revenues,5.09%,8.09%,9.09%,(4.01%),(7.05%)
Gross Profit,7.09%,8.72%,6.17%,9.40%,11.63%
Selling General & Admin Expenses,3.04%,4.80%,6.04%,3.09%,2.44%
Total Operating Expenses,3.04%,4.80%,6.04%,3.09%,2.44%
Operating Income,11.50%,12.65%,6.30%,15.27%,20.21%
Interest Expense,-0.61%,(40.93%),-11.47%,-5.75%,-16.54%
Interest And Investment Income,(26.81%),150.21%,(5.04%),(20.61%),(20.61%)
Net Interest Expenses,(1.69%),(34.05%),-12.23%,-3.86%,-16.05%
"EBT, Excl. Unusual Items",12.26%,11.45%,6.87%,17.37%,23.58%
"EBT, Incl. Unusual Items",38.00%,1.63%,0.33%,30.18%,34.79%
Income Tax Expense,32.58%,(30.16%),(56.46%),230.39%,52.59%
Earnings From Continuing Operations,40.62%,16.15%,15.92%,9.53%,30.18%
Net Income to Company,40.62%,16.15%,15.92%,9.53%,30.18%
Minority Interest,-38.57%,(72.09%),(25.68%),-66.67%,-34.04%
Net Income,40.69%,16.13%,15.92%,9.57%,30.21%
NI to Common Incl Extra Items,40.69%,16.13%,15.92%,9.57%,30.21%
NI to Common Excl. Extra Items,40.69%,16.13%,15.92%,9.57%,30.21%
Revenue Per Share,7.78%,10.61%,9.94%,(0.36%),(2.73%)
Basic EPS,43.83%,18.78%,17.30%,10.92%,31.73%
Basic EPS - Continuing Ops,43.83%,18.78%,17.30%,10.92%,31.73%
Basic Weighted Average Shares Outst.,(2.19%),(2.18%),(1.23%),(1.37%),(1.15%)
Diluted EPS,43.66%,18.63%,17.36%,11.27%,32.03%
Diluted EPS - Continuing Ops,43.66%,18.63%,17.36%,11.27%,32.03%
Diluted Weighted Average Shares Outst.,(1.79%),(2.27%),(1.17%),(1.63%),(1.54%)
Normalized Basic EPS,14.53%,13.88%,8.25%,19.05%,25.04%
Normalized Diluted EPS,13.99%,13.90%,7.98%,19.49%,25.53%
Dividend Per Share,11.76%,15.79%,22.73%,18.52%,13.33%
Payout Ratio,(21.93%),(2.76%),4.60%,6.86%,(14.02%)
EBITDA,9.01%,6.84%,1.15%,11.68%,16.51%
EBITA,10.48%,8.89%,2.73%,14.48%,18.73%
EBIT,11.50%,12.65%,6.30%,15.27%,20.21%
EBITDAR,5.26%,,,10.60%,
Effective Tax Rate,(3.93%),(31.28%),(56.59%),153.79%,13.20%
Normalized Net Income,12.30%,11.43%,6.85%,17.43%,23.60%
Foreign Sales,1.32%,(0.32%),17.41%,3.24%,
