Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,6.77%,6.83%,11.40%,7.09%,(3.71%)
Other Revenues,9.76%,25.49%,26.93%,7.82%,(16.35%)
Total Revenues,6.81%,7.13%,11.69%,7.10%,(3.97%)
Cost Of Revenues,7.27%,10.75%,15.67%,8.75%,(4.89%)
Gross Profit,6.63%,5.64%,9.97%,6.36%,(3.54%)
Selling General & Admin Expenses,3.32%,9.01%,14.05%,6.66%,(1.89%)
Total Operating Expenses,3.32%,9.01%,14.05%,6.66%,(1.89%)
Operating Income,9.36%,3.00%,6.59%,6.09%,(5.01%)
Interest Expense,(127.27%),(56.00%),(351.28%),(120.45%),-7.71%
Interest And Investment Income,76.79%,20.20%,11.76%,(7.52%),(81.46%)
Net Interest Expenses,64.44%,8.11%,,(516.28%),(39.08%)
Other Non Operating Income (Expenses),,,100.00%,,
"EBT, Excl. Unusual Items",9.38%,3.25%,5.64%,3.82%,(6.09%)
"EBT, Incl. Unusual Items",9.38%,3.26%,5.22%,5.05%,(5.23%)
Income Tax Expense,9.76%,(29.30%),9.02%,1.62%,(6.75%)
Earnings From Continuing Operations,9.18%,20.31%,4.05%,6.16%,(4.75%)
Net Income to Company,9.18%,20.31%,4.05%,6.16%,(4.75%)
Net Income,9.18%,20.31%,4.05%,6.16%,(4.75%)
NI to Common Incl Extra Items,9.18%,20.31%,4.05%,6.16%,(4.75%)
NI to Common Excl. Extra Items,9.18%,20.31%,4.05%,6.16%,(4.75%)
Revenue Per Share,7.13%,7.40%,11.61%,7.34%,(4.17%)
Basic EPS,9.36%,20.39%,3.96%,6.36%,(4.94%)
Basic EPS - Continuing Ops,9.36%,20.39%,3.96%,6.36%,(4.94%)
Basic Weighted Average Shares Outst.,(0.25%),(0.22%),0.06%,(0.19%),0.20%
Diluted EPS,9.09%,20.61%,4.00%,6.29%,(4.87%)
Diluted EPS - Continuing Ops,9.09%,20.61%,4.00%,6.29%,(4.87%)
Diluted Weighted Average Shares Outst.,0.03%,(0.30%),0.08%,(0.22%),0.07%
Normalized Basic EPS,9.91%,3.34%,5.73%,4.00%,(6.28%)
Normalized Diluted EPS,9.61%,3.58%,5.44%,4.16%,(6.15%)
Dividend Per Share,9.52%,11.96%,11.65%,7.83%,0.00%
Payout Ratio,0.02%,(7.16%),7.42%,1.33%,5.39%
EBITDA,9.44%,3.53%,9.00%,7.19%,(5.41%)
EBITA,9.42%,3.19%,9.13%,7.68%,(5.52%)
EBIT,9.36%,3.00%,6.59%,6.09%,(5.01%)
EBITDAR,9.14%,3.44%,8.96%,7.26%,
Effective Tax Rate,0.36%,(31.52%),3.59%,(3.28%),(1.61%)
Normalized Net Income,9.38%,3.25%,5.64%,3.82%,(6.09%)
Foreign Sales,,,,7.10%,
