Income Statement,Jul 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,9.94%,6.06%,2.36%,(12.01%),(24.08%)
Total Revenues,9.94%,6.06%,2.36%,(12.01%),(24.08%)
Cost Of Revenues,8.44%,6.31%,2.23%,(11.73%),(23.50%)
Gross Profit,16.78%,5.00%,2.92%,(13.21%),(26.57%)
Selling General & Admin Expenses,20.95%,2.72%,0.51%,(6.17%),(13.60%)
Depreciation & Amortization,,,,,0.00%
Total Operating Expenses,20.95%,2.72%,0.51%,(5.73%),(13.16%)
Operating Income,2.19%,14.46%,11.88%,(38.19%),(70.01%)
Interest Expense,-1.07%,(30.58%),-8.87%,(13.26%),(57.19%)
Net Interest Expenses,-1.07%,(30.58%),-8.87%,(13.26%),(57.19%)
Other Non Operating Income (Expenses),(55.36%),23.28%,,,"30,893.04%"
"EBT, Excl. Unusual Items",10.96%,11.78%,14.76%,(45.36%),(81.36%)
"EBT, Incl. Unusual Items",23.25%,10.76%,2.54%,(85.37%),
Income Tax Expense,29.03%,(15.76%),(36.90%),(76.50%),
Earnings From Continuing Operations,20.31%,25.23%,17.02%,(87.13%),
Net Income to Company,20.31%,25.23%,17.02%,(87.13%),
Net Income,20.31%,25.23%,17.02%,(87.13%),
NI to Common Incl Extra Items,20.31%,25.23%,17.02%,(87.13%),
NI to Common Excl. Extra Items,20.31%,25.23%,17.02%,(87.13%),
Revenue Per Share,15.92%,10.23%,3.55%,(10.84%),(23.48%)
Basic EPS,26.63%,30.29%,18.22%,(86.96%),
Basic EPS - Continuing Ops,26.63%,30.29%,18.22%,(86.96%),
Basic Weighted Average Shares Outst.,(5.16%),(3.78%),(1.15%),(1.31%),(0.78%)
Diluted EPS,26.83%,29.81%,18.52%,(86.88%),
Diluted EPS - Continuing Ops,26.83%,29.81%,18.52%,(86.88%),
Diluted Weighted Average Shares Outst.,(5.00%),(3.55%),(1.08%),(1.79%),(1.83%)
Normalized Basic EPS,16.73%,16.24%,16.08%,(44.64%),(81.21%)
Normalized Diluted EPS,17.00%,16.02%,16.12%,(44.45%),(81.01%)
Dividend Per Share,5.69%,8.46%,8.51%,13.73%,11.11%
Payout Ratio,(16.90%),(17.46%),(8.23%),758.14%,
EBITDA,8.13%,9.55%,7.65%,(29.73%),(55.23%)
EBITA,5.84%,13.79%,10.42%,(36.78%),(67.14%)
EBIT,2.19%,14.46%,11.88%,(38.19%),(70.01%)
EBITDAR,10.42%,,,,
Effective Tax Rate,4.70%,(23.93%),(38.46%),60.65%,24.82%
Normalized Net Income,10.96%,11.78%,14.76%,(45.36%),(81.36%)
Foreign Sales,101.61%,8.56%,(0.49%),(14.90%),
